source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
NKT,cDC2,MIF,CD74_CD44,0.18589526979303,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
LC,Inflam. DC,MIF,CD74_CXCR4,0.183208156271546,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
TC,LC,MIF,CD74_CXCR4,0.18307515660564,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
CD40LG+ TC,LC,MIF,CD74_CXCR4,0.182227289901255,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
cDC1,LC,MIF,CD74_CXCR4,0.178904529341204,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
NKT,LC,MIF,CD74_CXCR4,0.177728222495193,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
cDC2,cDC1,MIF,CD74_CD44,0.177348405348485,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
cDC2,Inflam. DC,MIF,CD74_CD44,0.174324094460034,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
Inflam. FIB,LC,MIF,CD74_CD44,0.172526199605416,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
Inflam. FIB,cDC2,MIF,CD74_CD44,0.171260147987767,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
TC,cDC1,MIF,CD74_CD44,0.169109771840509,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
CD40LG+ TC,cDC1,MIF,CD74_CD44,0.168313256699641,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
cDC2,Inflam. DC,MIF,CD74_CXCR4,0.167397335598734,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
TC,Inflam. DC,MIF,CD74_CD44,0.166197570525507,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
CD40LG+ TC,Inflam. DC,MIF,CD74_CD44,0.165412041316448,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
cDC1,cDC1,MIF,CD74_CD44,0.165192956333273,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
NKT,cDC1,MIF,CD74_CD44,0.164088787255168,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
Inflam. FIB,LC,MIF,CD74_CXCR4,0.163606858781128,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
cDC1,Inflam. DC,MIF,CD74_CD44,0.162335027468088,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
NKT,Inflam. DC,MIF,CD74_CD44,0.16124627135354,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
TC,Inflam. DC,MIF,CD74_CXCR4,0.159531328836107,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
CD40LG+ TC,Inflam. DC,MIF,CD74_CXCR4,0.158771307800564,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
cDC1,Inflam. DC,MIF,CD74_CXCR4,0.155794765651259,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
NKT,Inflam. DC,MIF,CD74_CXCR4,0.154741770978057,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. FIB,cDC1,MIF,CD74_CD44,0.150852325516337,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
Inflam. DC,LC,MIF,CD74_CD44,0.150773206264079,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
APOE+ FIB,LC,MIF,CD74_CD44,0.150396746069297,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
Inflam. DC,cDC2,MIF,CD74_CD44,0.14963791789067,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
APOE+ FIB,cDC2,MIF,CD74_CD44,0.149263794124296,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
Inflam. FIB,Inflam. DC,MIF,CD74_CD44,0.148198453545546,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
FBN1+ FIB,LC,MIF,CD74_CD44,0.145619846741354,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
FBN1+ FIB,cDC2,MIF,CD74_CD44,0.144516758616917,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
Inflam. DC,LC,MIF,CD74_CXCR4,0.142784407650987,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
APOE+ FIB,LC,MIF,CD74_CXCR4,0.142424549081123,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. FIB,Inflam. DC,MIF,CD74_CXCR4,0.142131097914324,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
FBN1+ FIB,LC,MIF,CD74_CXCR4,0.137859775312013,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. DC,cDC1,MIF,CD74_CD44,0.13139814024544,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
APOE+ FIB,cDC1,MIF,CD74_CD44,0.131062590867317,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
Inflam. DC,Inflam. DC,MIF,CD74_CD44,0.129034509121089,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
APOE+ FIB,Inflam. DC,MIF,CD74_CD44,0.12870410133811,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
FBN1+ FIB,cDC1,MIF,CD74_CD44,0.126808126099246,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
FBN1+ FIB,Inflam. DC,MIF,CD74_CD44,0.12451522556059,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
Inflam. DC,Inflam. DC,MIF,CD74_CXCR4,0.123637858076231,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
APOE+ FIB,Inflam. DC,MIF,CD74_CXCR4,0.123319312456639,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
APOE+ FIB,LC,CXCL12,CXCR4,0.121178782046211,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
FBN1+ FIB,Inflam. DC,MIF,CD74_CXCR4,0.119281700179569,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. TC,cDC2,MIF,CD74_CXCR4,0.0964958936464161,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. TC,Inflam. TC,MIF,CD74_CD44,0.0939657217535639,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
LC,cDC2,MIF,CD74_CXCR4,0.0934152817682714,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
APOE+ FIB,Inflam. DC,CXCL12,CXCR4,0.0927369624457097,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
LC,Inflam. TC,MIF,CD74_CD44,0.0909577532807856,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
FBN1+ FIB,LC,CXCL12,CXCR4,0.0868067955955899,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
cDC2,cDC2,ANXA1,FPR3,0.0861932981745039,0.0,ANXA1_FPR3,ANXA1 - FPR3,ANNEXIN,Secreted Signaling,PMID: 33082511
cDC2,cDC2,MIF,CD74_CXCR4,0.0845514051360684,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. TC,NKT,MIF,CD74_CD44,0.083101228187232,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
cDC2,Inflam. TC,MIF,CD74_CD44,0.0823058933555471,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
CD40LG+ TC,cDC2,ANXA1,FPR3,0.0816713821077807,0.0,ANXA1_FPR3,ANXA1 - FPR3,ANNEXIN,Secreted Signaling,PMID: 33082511
Inflam. TC,CD40LG+ TC,MIF,CD74_CD44,0.0810065830934354,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
LC,NKT,MIF,CD74_CD44,0.0804101807341506,0.01,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
TC,cDC2,MIF,CD74_CXCR4,0.0802033313398346,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
CD40LG+ TC,cDC2,MIF,CD74_CXCR4,0.0797853594265843,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
cDC1,cDC2,ANXA1,FPR3,0.0789628414477638,0.0,ANXA1_FPR3,ANXA1 - FPR3,ANNEXIN,Secreted Signaling,PMID: 33082511
TC,cDC2,ANXA1,FPR3,0.0785075971146519,0.0,ANXA1_FPR3,ANXA1 - FPR3,ANNEXIN,Secreted Signaling,PMID: 33082511
LC,CD40LG+ TC,MIF,CD74_CD44,0.0783775678170447,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
cDC1,cDC2,MIF,CD74_CXCR4,0.0781520273737989,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
TC,Inflam. TC,MIF,CD74_CD44,0.0780634484467469,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
NKT,cDC2,ANXA1,FPR3,0.0778808366095965,0.0,ANXA1_FPR3,ANXA1 - FPR3,ANNEXIN,Secreted Signaling,PMID: 33082511
FBN1+ FIB,cDC2,ANXA1,FPR3,0.0777836238581483,0.0,ANXA1_FPR3,ANXA1 - FPR3,ANNEXIN,Secreted Signaling,PMID: 33082511
CD40LG+ TC,Inflam. TC,MIF,CD74_CD44,0.0776556868138823,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
NKT,cDC2,MIF,CD74_CXCR4,0.0775755862688369,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
cDC1,Inflam. TC,MIF,CD74_CD44,0.0760623488483905,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
NKT,Inflam. TC,MIF,CD74_CD44,0.0755000586347699,0.01,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
COL11A1+ FIB,LC,MIF,CD74_CD44,0.0736205163108252,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
COL11A1+ FIB,cDC2,MIF,CD74_CD44,0.0730162211358176,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
cDC2,NKT,MIF,CD74_CD44,0.0726813850151733,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
LC,cDC2,ANXA1,FPR3,0.0715911589124525,0.0,ANXA1_FPR3,ANXA1 - FPR3,ANNEXIN,Secreted Signaling,PMID: 33082511
cDC2,CD40LG+ TC,MIF,CD74_CD44,0.0708290932165453,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
Inflam. FIB,cDC2,MIF,CD74_CXCR4,0.07072736167326,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
COL11A1+ FIB,LC,MIF,CD74_CXCR4,0.0693856878113074,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
TC,NKT,MIF,CD74_CD44,0.0688977886691076,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
Inflam. FIB,Inflam. TC,MIF,CD74_CD44,0.0688213874794123,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
CD40LG+ TC,NKT,MIF,CD74_CD44,0.0685343445193715,0.01,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
TC,CD40LG+ TC,MIF,CD74_CD44,0.0671349412846756,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
cDC1,NKT,MIF,CD74_CD44,0.067114539975602,0.01,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
APOE+ FIB,cDC2,ANXA1,FPR3,0.0669835611459753,0.0,ANXA1_FPR3,ANXA1 - FPR3,ANNEXIN,Secreted Signaling,PMID: 33082511
CD40LG+ TC,CD40LG+ TC,MIF,CD74_CD44,0.0667801294118927,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
FBN1+ FIB,Inflam. DC,CXCL12,CXCR4,0.0658281187977474,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
cDC1,CD40LG+ TC,MIF,CD74_CD44,0.0653941150139788,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
NKT,CD40LG+ TC,MIF,CD74_CD44,0.06490514949265,0.04,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
Inflam. FIB,cDC2,ANXA1,FPR3,0.0636222878043017,0.0,ANXA1_FPR3,ANXA1 - FPR3,ANNEXIN,Secreted Signaling,PMID: 33082511
COL11A1+ FIB,cDC1,MIF,CD74_CD44,0.0634195286403618,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
Inflam. FIB,LC,C3,ITGAX_ITGB2,0.0622613406533589,0.0,C3_ITGAX_ITGB2,C3 - (ITGAX+ITGB2),COMPLEMENT,Secreted Signaling,PMID: 16234578
Inflam. TC,cDC2,ANXA1,FPR3,0.0615433924278704,0.0,ANXA1_FPR3,ANXA1 - FPR3,ANNEXIN,Secreted Signaling,PMID: 33082511
Inflam. DC,cDC2,MIF,CD74_CXCR4,0.0608655773486994,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
APOE+ FIB,cDC2,MIF,CD74_CXCR4,0.0606975593057193,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
COL11A1+ FIB,Inflam. DC,MIF,CD74_CXCR4,0.0593994651007909,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. FIB,CD40LG+ TC,MIF,CD74_CD44,0.0591037782484736,0.0,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
APOE+ FIB,Inflam. TC,MIF,CD74_CD44,0.05904469657107,0.03,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
APOE+ FIB,LC,C3,ITGAX_ITGB2,0.0587462176268959,0.0,C3_ITGAX_ITGB2,C3 - (ITGAX+ITGB2),COMPLEMENT,Secreted Signaling,PMID: 16234578
FBN1+ FIB,cDC2,MIF,CD74_CXCR4,0.0585732671189425,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. TC,Inflam. FIB,MIF,CD74_CD44,0.0577670017900814,0.04,MIF_CD74_CD44,MIF - (CD74+CD44),MIF,Secreted Signaling,PMID: 29637711; PMID: 26175090
cDC2,LC,ANXA1,FPR3,0.0540118540189431,0.0,ANXA1_FPR3,ANXA1 - FPR3,ANNEXIN,Secreted Signaling,PMID: 33082511
Inflam. FIB,Inflam. DC,CCL19,CCR7,0.0520444621962332,0.0,CCL19_CCR7,CCL19 - CCR7,CCL,Secreted Signaling,KEGG: hsa04060
CD40LG+ TC,LC,ANXA1,FPR3,0.0510838761444512,0.0,ANXA1_FPR3,ANXA1 - FPR3,ANNEXIN,Secreted Signaling,PMID: 33082511
Inflam. TC,CD40LG+ TC,MIF,CD74_CXCR4,0.0501823189189832,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
APOE+ FIB,CD40LG+ TC,CXCL12,CXCR4,0.049417517434938,0.0,CXCL12_CXCR4,CXCL12 - CXCR4,CXCL,Secreted Signaling,KEGG: hsa04060
cDC1,LC,ANXA1,FPR3,0.0493352396362013,0.0,ANXA1_FPR3,ANXA1 - FPR3,ANNEXIN,Secreted Signaling,PMID: 33082511
TC,LC,ANXA1,FPR3,0.0490417121797396,0.0,ANXA1_FPR3,ANXA1 - FPR3,ANNEXIN,Secreted Signaling,PMID: 33082511
FBN1+ FIB,LC,C3,ITGAX_ITGB2,0.0487878177057503,0.0,C3_ITGAX_ITGB2,C3 - (ITGAX+ITGB2),COMPLEMENT,Secreted Signaling,PMID: 16234578
NKT,LC,ANXA1,FPR3,0.0486377744531983,0.0,ANXA1_FPR3,ANXA1 - FPR3,ANNEXIN,Secreted Signaling,PMID: 33082511
FBN1+ FIB,LC,ANXA1,FPR3,0.0485751407649397,0.0,ANXA1_FPR3,ANXA1 - FPR3,ANNEXIN,Secreted Signaling,PMID: 33082511
LC,CD40LG+ TC,MIF,CD74_CXCR4,0.0485008886077669,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
cDC2,LC,PPIA,BSG,0.0484583066329684,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
Inflam. TC,LC,PPIA,BSG,0.0468642055880179,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
LC,LC,PPIA,BSG,0.0467676944623576,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
NKT,LC,PPIA,BSG,0.0454569382419955,0.0,PPIA_BSG,PPIA - BSG,CypA,Secreted Signaling,PMID: 36012604
LC,LC,ANXA1,FPR3,0.0445955589266308,0.0,ANXA1_FPR3,ANXA1 - FPR3,ANNEXIN,Secreted Signaling,PMID: 33082511
cDC2,CD40LG+ TC,MIF,CD74_CXCR4,0.0436933955797863,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. TC,FBN1+ FIB,MIF,ACKR3,0.0423653445411439,0.0,MIF_ACKR3,MIF - ACKR3,MIF,Secreted Signaling,PMID: 26175090
Inflam. FIB,cDC2,C3,ITGAX_ITGB2,0.0416745561322335,0.0,C3_ITGAX_ITGB2,C3 - (ITGAX+ITGB2),COMPLEMENT,Secreted Signaling,PMID: 16234578
APOE+ FIB,LC,ANXA1,FPR3,0.0416474550455643,0.0,ANXA1_FPR3,ANXA1 - FPR3,ANNEXIN,Secreted Signaling,PMID: 33082511
TC,CD40LG+ TC,MIF,CD74_CXCR4,0.0413515437226694,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
CD40LG+ TC,CD40LG+ TC,MIF,CD74_CXCR4,0.0411269909747002,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
LC,FBN1+ FIB,MIF,ACKR3,0.0409345451393613,0.0,MIF_ACKR3,MIF - ACKR3,MIF,Secreted Signaling,PMID: 26175090
cDC1,CD40LG+ TC,MIF,CD74_CXCR4,0.0402504406977682,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
NKT,CD40LG+ TC,MIF,CD74_CXCR4,0.0399414451185397,0.0,MIF_CD74_CXCR4,MIF - (CD74+CXCR4),MIF,Secreted Signaling,PMID: 29637711; PMID: 24760155
Inflam. FIB,LC,ANXA1,FPR3,0.0395037319834925,0.0,ANXA1_FPR3,ANXA1 - FPR3,ANNEXIN,Secreted Signaling,PMID: 33082511
APOE+ FIB,cDC2,C3,ITGAX_ITGB2,0.0392730356768081,0.0,C3_ITGAX_ITGB2,C3 - (ITGAX+ITGB2),COMPLEMENT,Secreted Signaling,PMID: 16234578
